dataset_source,scale,engine,approach,schema,collection,repeat,n_queries,mean_latency_ms,p95_latency_ms,throughput_qps,cpu_percent,storage_mb,ciphertext_expansion_factor,recovery_accuracy,recovery_accuracy_filtered,linkage_recovery_accuracy,n_unique_tokens,decoy_target_ratio
excel,1000,mongo,A,single,lab_orders,0,5000,1.5725984799937578,2.7910999982850635,626.8226671159559,36.5,0.101480484008789,1.0,1.0,,,5000,
excel,1000,mongo,A,single,lab_orders,1,5000,1.5353311000173562,2.6478350000616047,641.750934767792,33.1,0.101480484008789,1.0,1.0,,,5000,
excel,1000,mongo,A,single,lab_orders,2,5000,1.5428466999823285,2.682350000577572,638.5214988719555,34.2,0.101480484008789,1.0,1.0,,,5000,
excel,1000,mongo,B,single,lab_orders,0,5000,1.6225072000321237,2.936940000472532,592.0094448711169,38.5,0.2584733963012695,2.547025655483507,0.7236,,,97,
excel,1000,mongo,B,single,lab_orders,1,5000,1.5533942000343814,2.6749499991638004,619.6152952382752,33.7,0.2584733963012695,2.547025655483507,0.7236,,,97,
excel,1000,mongo,B,single,lab_orders,2,5000,1.4934027000104837,2.509004998137243,645.0565664295912,31.8,0.2584733963012695,2.547025655483507,0.7236,,,97,
excel,1000,mongo,C,single,lab_orders,0,5000,1.6072714999805613,2.6519000020925887,600.0471877109244,33.2,1.3739862442016602,13.539413588948408,0.3984,0.4048,,97,0.5
excel,1000,mongo,C,single,lab_orders,1,5000,1.542384880019381,2.5804249997236184,626.54968449404,29.5,1.3739862442016602,13.539413588948408,0.3984,0.4048,,97,0.5
excel,1000,mongo,C,single,lab_orders,2,5000,2.3817334600411413,4.365464999318648,401.1948352487831,50.0,1.3739862442016602,13.539413588948408,0.3984,0.4048,,97,0.5
excel,1000,mongo,C,single,lab_orders,0,5000,2.547924099982629,4.309135000585229,375.11874852884216,47.6,1.99580192565918,19.66685461892679,0.3288,0.4188,,97,0.75
excel,1000,mongo,C,single,lab_orders,1,5000,2.6177878599795803,4.333105000114302,365.1027810331102,50.5,1.99580192565918,19.66685461892679,0.3288,0.4188,,97,0.75
excel,1000,mongo,C,single,lab_orders,2,5000,2.52918739997549,4.229124999073974,377.99836620038417,47.8,1.99580192565918,19.66685461892679,0.3288,0.4188,,97,0.75
excel,1000,mongo,C,single,lab_orders,0,5000,3.124759699989954,4.834215000300901,310.7121062242041,41.9,2.6189098358154297,25.80702941452871,0.0,0.3352,,97,1.0
excel,1000,mongo,C,single,lab_orders,1,5000,2.647248159944138,3.61751999862463,367.5852153139127,34.6,2.6189098358154297,25.80702941452871,0.0,0.3352,,97,1.0
excel,1000,mongo,C,single,lab_orders,2,5000,3.9305851000084657,5.331985002521834,246.36934731706552,49.7,2.6189098358154297,25.80702941452871,0.0,0.3352,,97,1.0
excel,1000,mongo,D,single,lab_orders,0,5000,2.5286192399660647,4.495060000954254,377.27860431300815,48.7,1.3715581893920898,13.515487266234375,0.3984,0.3984,,97,0.5
excel,1000,mongo,D,single,lab_orders,1,5000,2.5261713600033544,4.463925000709423,377.62391030008433,47.8,1.3715581893920898,13.515487266234375,0.3984,0.3984,,97,0.5
excel,1000,mongo,D,single,lab_orders,2,5000,2.454800660038745,4.278854999211035,388.6297354678877,46.2,1.3715581893920898,13.515487266234375,0.3984,0.3984,,97,0.5
excel,1000,mongo,D,single,lab_orders,0,5000,2.500529960042331,4.238900000018475,381.7333506732231,45.4,1.991998672485352,19.62937693825768,0.3288,0.3288,,97,0.75
excel,1000,mongo,D,single,lab_orders,1,5000,2.59687259999846,4.4899050020831055,367.7738380373216,50.9,1.991998672485352,19.62937693825768,0.3288,0.3288,,97,0.75
excel,1000,mongo,D,single,lab_orders,2,5000,2.5589700800010178,4.310959999929764,373.1093523068026,49.2,1.991998672485352,19.62937693825768,0.3288,0.3288,,97,0.75
excel,1000,mongo,D,single,lab_orders,0,5000,3.694957739973325,4.91062999717542,261.6874098251664,45.2,2.613853454589844,25.757203270369327,0.0,0.0,,97,1.0
excel,1000,mongo,D,single,lab_orders,1,5000,3.668456220012013,4.985399999168294,263.75970136534266,46.6,2.613853454589844,25.757203270369327,0.0,0.0,,97,1.0
excel,1000,mongo,D,single,lab_orders,2,5000,2.5124242800571666,3.089450000879878,387.9716317005886,30.9,2.613853454589844,25.757203270369327,0.0,0.0,,97,1.0
excel,1000,mongo,A,multi,patients,0,5000,4.31684311997742,7.008599997971032,229.75189327393463,38.4,0.0780668258666992,1.0,1.0,,,5000,
excel,1000,mongo,A,multi,patients,1,5000,5.5253881199852914,7.783990000461927,178.9889932723345,45.4,0.0780668258666992,1.0,1.0,,,5000,
excel,1000,mongo,A,multi,patients,2,5000,3.799269259996072,5.67181499718572,259.4896587818305,32.6,0.0780668258666992,1.0,1.0,,,5000,
excel,1000,mongo,A,multi,lab_orders,0,5000,2.3875287000118988,4.551620000347612,407.8291084454523,51.9,0.101480484008789,1.0,1.0,,,5000,
excel,1000,mongo,A,multi,lab_orders,1,5000,1.8449577799889083,3.3388450010534143,532.429265600733,39.8,0.101480484008789,1.0,1.0,,,5000,
excel,1000,mongo,A,multi,lab_orders,2,5000,1.601023379999242,2.7223550030612387,614.0214122776055,31.4,0.101480484008789,1.0,1.0,,,5000,
excel,1000,mongo,A,multi,billing,0,5000,3.0424498800217408,4.613484999572393,325.6995673322589,34.6,0.0861053466796875,1.0,1.0,,,5000,
excel,1000,mongo,A,multi,billing,1,5000,3.352548400017986,5.245439998179792,294.4124717079772,37.5,0.0861053466796875,1.0,1.0,,,5000,
excel,1000,mongo,A,multi,billing,2,5000,3.069957979988976,3.765410000596603,321.9165209941019,29.3,0.0861053466796875,1.0,1.0,,,5000,
excel,1000,mongo,A,multi,linkage,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0,
excel,1000,mongo,B,multi,patients,0,5000,3.916643079986534,5.100424997363008,249.1250243351364,28.8,0.2126054763793945,2.723378003640406,1.0,,,5,
excel,1000,mongo,B,multi,patients,1,5000,4.01178461999807,5.1721700003327,242.74756452583716,31.1,0.2126054763793945,2.723378003640406,1.0,,,5,
excel,1000,mongo,B,multi,patients,2,5000,3.978134219969797,5.137580000337039,244.74610391614385,30.3,0.2126054763793945,2.723378003640406,1.0,,,5,
excel,1000,mongo,B,multi,lab_orders,0,5000,1.6071527800020704,2.767020001738274,589.6357553426091,33.1,0.2584733963012695,2.547025655483507,0.7236,,,97,
excel,1000,mongo,B,multi,lab_orders,1,5000,1.5977435999819136,2.7028600004996406,599.0141664454572,29.6,0.2584733963012695,2.547025655483507,0.7236,,,97,
excel,1000,mongo,B,multi,lab_orders,2,5000,1.591441600023245,2.735850000681239,601.2305530023368,30.3,0.2584733963012695,2.547025655483507,0.7236,,,97,
excel,1000,mongo,B,multi,billing,0,5000,3.0948609399827545,3.8266300010946,314.9689113716121,30.2,0.2554006576538086,2.9661416799574694,1.0,,,4,
excel,1000,mongo,B,multi,billing,1,5000,3.0957823199787526,3.767224999864993,314.00886953222533,29.5,0.2554006576538086,2.9661416799574694,1.0,,,4,
excel,1000,mongo,B,multi,billing,2,5000,3.1743291199731174,3.972720000274421,306.27795192128355,31.7,0.2554006576538086,2.9661416799574694,1.0,,,4,
excel,1000,mongo,B,multi,linkage,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0,
excel,1000,mongo,C,multi,patients,0,5000,4.503005340001255,5.648475001362385,217.0932221394741,32.3,0.5553760528564453,7.114110849143039,0.8814,0.8814,,5,0.5
excel,1000,mongo,C,multi,patients,1,5000,4.3731514799706925,5.292699998244644,224.02763103035716,29.1,0.5553760528564453,7.114110849143039,0.8814,0.8814,,5,0.5
excel,1000,mongo,C,multi,patients,2,5000,4.449383699987811,5.478420001963968,220.13026657589137,31.3,0.5553760528564453,7.114110849143039,0.8814,0.8814,,5,0.5
excel,1000,mongo,C,multi,lab_orders,0,5000,1.6735166399979788,2.759205000438669,573.7242421050307,29.4,1.3739862442016602,13.539413588948408,0.3984,0.4048,,97,0.5
excel,1000,mongo,C,multi,lab_orders,1,5000,1.8160835199938448,3.108444998724736,528.4060749113021,42.1,1.3739862442016602,13.539413588948408,0.3984,0.4048,,97,0.5
